segment,predictor,coef,coef_bootstrap_n,coef_bootstrap_ci_lower,coef_bootstrap_ci_upper
acceptor,(Intercept),1.6606113070463469,10000,1.4443157712702261,2.0868726557166384
acceptor,bfi_a,0.005704900370521283,10000,-0.17869226776009395,0.2365840249552732
acceptor,bfi_c,-0.13723995899241198,10000,-0.3299629780203477,0.010528004880969275
acceptor,bfi_e,0.03150843462733252,10000,-0.20697350541658713,0.2234286896162889
acceptor,bfi_n,0.02964787781584155,10000,-0.1509902735530547,0.22153143677229653
acceptor,bfi_o,0.009985629438602366,10000,-0.18338206882821173,0.22809292694536867
acceptor,cfc_f,0.20527713850343793,10000,-0.002316031915198613,0.3809150731700787
acceptor,cfc_i,-0.16360269696605426,10000,-0.4154766552971301,0.001817166974217505
acceptor,ci,-0.4909305688943658,10000,-0.7026620283706522,-0.32226571511517993
acceptor,ews_d,0.39709121574610706,10000,0.227020499093895,0.6187650994055521
acceptor,ews_e,-0.3715921606224397,10000,-0.5831010838991714,-0.203953039008778
acceptor,kv,-0.051049172280747734,10000,-0.24956017256810012,0.13124562827694702
acceptor,mms_cau_c,0.145614557173468,10000,-0.02068269260001552,0.3170954756046213
acceptor,mms_cau_e,0.03500061555602368,10000,-0.17621886735528974,0.23666956029722164
acceptor,mms_cau_n,-0.14680420293151986,10000,-0.395391857462271,0.048979990876730224
acceptor,mms_con_p,0.12184970198803015,10000,-0.09245785877845121,0.3575005421539686
acceptor,mms_con_s,0.10509826869044846,10000,-0.08106849610972734,0.38415522351666387
acceptor,mms_hum,0.272784377868911,10000,0.11914863429211278,0.5097274971423527
acceptor,mms_mit_c,-0.13212622060220724,10000,-0.3441349708436692,0.08946766279767158
acceptor,mms_mit_g,-0.044644704508348614,10000,-0.24355730479257962,0.17119281153042995
acceptor,mms_mit_e,0.08726717109897453,10000,-0.1132206818162526,0.30576769067068704
acceptor,ncs,-0.06658856632450173,10000,-0.2530719823591188,0.1531129355936529
acceptor,pi,-0.09835999572969616,10000,-0.34827728774471073,0.11693015286174993
acceptor,sj,0.19795711890729367,10000,0.03583306674247457,0.3909571196581291
acceptor,ss_e,-0.45689657530614736,10000,-0.720097730787271,-0.246664980186622
acceptor,ss_r,-0.5471482284827887,10000,-0.7539103224668733,-0.37246021438932186
acceptor,svss_c,-0.256136774682733,10000,-0.4581716175262472,-0.0621567732749408
acceptor,svss_st,0.17008218831385138,10000,-0.03945721971281639,0.35813306385650273
acceptor,w,0.1316329357354378,10000,-0.09255665778373497,0.38099014387091273
fencesitter,(Intercept),1.0265966406637015,10000,0.7083073555506763,1.3174514701798725
fencesitter,bfi_a,-0.03290189979585601,10000,-0.2682399204431219,0.15850522700980232
fencesitter,bfi_c,0.18973390193174772,10000,0.006133338724088974,0.3941039779138558
fencesitter,bfi_e,0.23168319832405201,10000,0.04115994819661992,0.4545574686729332
fencesitter,bfi_n,-0.07694200479684325,10000,-0.2985671206813011,0.09668533111706844
fencesitter,bfi_o,-9.304071126888728e-4,10000,-0.2151269666860713,0.19441149103736774
fencesitter,cfc_f,0.10150366793482485,10000,-0.09380325450662816,0.29530525006259134
fencesitter,cfc_i,0.14705319970225175,10000,-0.036094173644106796,0.4060418625369097
fencesitter,ci,0.32891562601365293,10000,0.15407987897099845,0.5522992524266906
fencesitter,ews_d,-0.20750895382623588,10000,-0.43253521155016406,-0.013147334682453084
fencesitter,ews_e,0.0686642972766361,10000,-0.1180222116629182,0.3275629242603599
fencesitter,kv,-0.011265148624307176,10000,-0.2182884671514032,0.18924604600363637
fencesitter,mms_cau_c,0.2897684901151839,10000,0.08680761542183263,0.4873839479492568
fencesitter,mms_cau_e,0.1888888056613522,10000,-0.003483985627371531,0.4304246898275447
fencesitter,mms_cau_n,0.09864813291859229,10000,-0.11924885927382041,0.36044369596156567
fencesitter,mms_con_p,-0.08929486547111282,10000,-0.3057624100452417,0.15038907043455074
fencesitter,mms_con_s,0.05677344230620298,10000,-0.20722337733057067,0.2549178463034486
fencesitter,mms_hum,-0.056853604132308305,10000,-0.29055627251859734,0.1559838187700691
fencesitter,mms_mit_c,0.16689538501975593,10000,-0.06552588852649327,0.36214028425563094
fencesitter,mms_mit_g,0.10188289482589363,10000,-0.11971438652451086,0.3050310493495535
fencesitter,mms_mit_e,-0.09881951872491102,10000,-0.31393029847085036,0.1063827905610756
fencesitter,ncs,-0.0192410366916506,10000,-0.2341546156665337,0.1900939856043667
fencesitter,pi,-0.15997838470367706,10000,-0.3830607698182476,0.05686852002794563
fencesitter,sj,-0.22524467457692768,10000,-0.4386640931865747,-0.04286732501437729
