scale,subscale,reverse-coded,item.original,alreadyordered,item.new,order.original,order.new,item.id
BFI-10,extraversion,Y,... is reserved,Y,... is reserved,1,1,BFI-10-1
BFI-10,agreeableness,N,... is generally trusting,Y,... is generally trusting,2,2,BFI-10-2
BFI-10,conscientiousness,Y,... tends to be lazy,Y,... tends to be lazy,3,3,BFI-10-3
BFI-10,neuroticism,Y,"... is relaxed, handles stress well",Y,"... is relaxed, handles stress well",4,4,BFI-10-4
BFI-10,openness,Y,... has few artistic interests,Y,... has few artistic interests,5,5,BFI-10-5
BFI-10,extraversion,N,"... is outgoing, sociable",Y,"... is outgoing, sociable",6,6,BFI-10-6
BFI-10,agreeableness,Y,... tends to find fault with others,Y,... tends to find fault with others,7,7,BFI-10-7
BFI-10,conscientiousness,N,... does a thorough job,Y,... does a thorough job,8,8,BFI-10-8
BFI-10,neuroticism,N,... gets nervous easily,Y,... gets nervous easily,9,9,BFI-10-9
BFI-10,openness,N,... has an active imagination,Y,... has an active imagination,10,10,BFI-10-10
CFC-S,future,N,I consider how things might be in the future.,Y,I consider how things might be in the future.,1,1,CFC-S-1
CFC-S,future,N,Often I engage in a particular behaviour to achieve outcomes that may only result many years from now.,Y,Often I engage in a particular behaviour to achieve outcomes that may only result many years from now.,2,2,CFC-S-2
CFC-S,immediate,N,"I mainly act to satisfy my immediate concerns, figuring the future will take care of itself.",Y,"I mainly act to satisfy my immediate concerns, figuring the future will take care of itself.",3,3,CFC-S-3
CFC-S,immediate,N,"My behaviour is only influenced by the immediate (i.e., a matter of days or weeks) outcomes of my actions.",Y,"My behaviour is only influenced by the immediate (i.e., a matter of days or weeks) outcomes of my actions.",4,4,CFC-S-4
CFC-S,future,N,I am willing to sacrifice now to achieve future outcomes.,Y,I am willing to sacrifice now to achieve future outcomes.,5,5,CFC-S-5
CFC-S,future,N,I think it is important to take warnings about negative outcomes seriously even if the negative outcome will not occur for many years.,Y,I think it is important to take warnings about negative outcomes seriously even if the negative outcome will not occur for many years.,6,6,CFC-S-6
